iter	Logloss
0	0.6857584099
1	0.6782159467
2	0.6692148897
3	0.6609018382
4	0.6538722886
5	0.6485888327
6	0.6406497243
7	0.6338495864
8	0.6279349724
9	0.6220268842
10	0.61599375
11	0.6087421875
12	0.6003591452
13	0.595190579
14	0.5889185202
15	0.5826956801
16	0.5769175551
17	0.5724066176
18	0.5659477941
19	0.5612652574
20	0.557007261
21	0.5510578585
22	0.5459444853
23	0.5409807904
24	0.5351325368
25	0.5315270221
26	0.5252488511
27	0.5214128676
28	0.516453125
29	0.5127278493
30	0.5090150276
31	0.5029482077
32	0.4993300092
33	0.4949328585
34	0.4901033548
35	0.4842865349
36	0.4803213695
37	0.4754131434
38	0.4716353401
39	0.4686670496
40	0.4641544118
41	0.4591198529
42	0.4555740809
43	0.4511795496
44	0.4479424632
45	0.4441890165
46	0.4399154871
47	0.4364835478
48	0.4335141544
49	0.4300025735
50	0.4268351103
51	0.4222193934
52	0.4190283088
53	0.415387546
54	0.4106573529
55	0.4069057904
56	0.4034232537
57	0.4003453585
58	0.3982290901
59	0.3961382813
60	0.3935817555
61	0.3902151654
62	0.3874539522
63	0.3831810892
64	0.3801217142
65	0.3773546186
66	0.3754607537
67	0.3721022978
68	0.3704099265
69	0.3680681526
70	0.3640761489
71	0.3610138787
72	0.3572977711
73	0.3543916131
74	0.3516174173
75	0.3496765855
76	0.345933295
77	0.3437917279
78	0.3409764246
79	0.3384348805
80	0.3361626608
81	0.3342220358
82	0.3321464384
83	0.3300412224
84	0.3276512868
85	0.3261689798
86	0.3251563189
87	0.3234893612
88	0.3215748851
89	0.3178377528
90	0.3160446691
91	0.314653148
92	0.3123819393
93	0.3110335938
94	0.309111443
95	0.3081640625
96	0.3068432215
97	0.304966682
98	0.30255
99	0.3011178768
100	0.2995800322
101	0.2976680836
102	0.2963144301
103	0.2952875919
104	0.2942769761
105	0.291991636
106	0.2894372243
107	0.2878508502
108	0.2837586397
109	0.2819888557
110	0.280989614
111	0.2790842601
112	0.2778544577
113	0.2758513787
114	0.2734978401
115	0.2716300781
116	0.2708455423
117	0.2687612592
118	0.2669474265
119	0.2655403033
120	0.2639841912
121	0.2628884421
122	0.2617166131
123	0.2601684283
124	0.2588252987
125	0.2577452206
126	0.2566622243
127	0.2546659007
128	0.2533878447
129	0.2517096278
130	0.2507965074
131	0.2494621094
132	0.2487519301
133	0.2473202895
134	0.2457712086
135	0.2447025276
136	0.2429761259
137	0.2418813879
138	0.2407318934
139	0.2394646829
140	0.23828125
141	0.2366317555
142	0.2358777344
143	0.2335940717
144	0.23246767
145	0.2316200368
146	0.2308227022
147	0.2294382123
148	0.2282855699
149	0.2262941176
150	0.224425
151	0.2236264476
152	0.2232903263
153	0.2218421645
154	0.2202008042
155	0.2186284237
156	0.2172480469
157	0.216689591
158	0.2156528493
159	0.2142480469
160	0.2128868336
161	0.2121852711
162	0.2112564338
163	0.2099082031
164	0.2088133272
165	0.2079024127
166	0.2068664752
167	0.2057116728
168	0.2044413833
169	0.2031536305
170	0.202267693
171	0.2011100643
172	0.2006269991
173	0.1995285156
174	0.1975514936
175	0.1968421875
176	0.1957262178
177	0.1947532629
178	0.1939330882
179	0.1932428768
